# 60x60.Tetramagic Square.
# Generated by Toshihiro Shirakawa in 2025.12.28
# S1=107970
# S2=259092010
# S3=699451254000
# S4=2014139779199998

508,2965,876,834,3172,563,2198,1842,270,2669,1705,1929,2909,3496,1138,1147,3207,177,2574,3386,1476,2870,2263,1228,1002,2076,1298,1985,324,3595,4,3275,1614,2301,1523,2597,2371,1336,729,2123,213,1025,3422,392,2452,2461,103,690,1670,1894,930,3329,1757,1401,3036,427,2765,2723,634,3091,
1875,335,2052,375,1755,2103,1202,2641,489,3353,1921,3030,37,1579,226,878,1034,2226,2922,2331,1175,2838,3457,2476,1389,3157,968,99,2956,829,2770,643,3500,2631,442,2210,1123,142,761,2424,1268,677,1373,2565,2721,3373,2020,3562,569,1678,246,3110,958,2397,1496,1844,3224,1547,3264,1724,
3303,2706,425,2897,3505,2058,3113,3012,2428,397,747,1235,2006,2279,1672,2115,949,1795,2632,120,2471,3369,2808,2205,1035,1708,631,310,36,2306,1293,3563,3289,2968,1891,2564,1394,791,230,1128,3479,967,1804,2650,1484,1927,1320,1593,2364,2852,3202,1171,587,486,1541,94,702,3174,893,296,
1376,2332,1845,742,190,2506,996,3191,1914,3480,3046,466,2666,131,1640,1256,1195,2714,2066,507,2900,1024,1442,2802,2951,245,3284,40,1431,1567,2032,2168,3559,315,3354,648,797,2157,2575,699,3092,1533,885,2404,2343,1959,3468,933,3133,553,119,1685,408,2603,1093,3409,2857,1754,1267,2223,
328,3514,1170,430,921,548,1909,2308,3555,207,1515,1466,2367,1328,2188,3327,1133,2763,362,2705,754,1677,1834,987,500,3434,1603,2976,704,1048,2551,2895,623,1996,165,3099,2612,1765,1922,2845,894,3237,836,2466,272,1411,2271,1232,2133,2084,3392,44,1291,1690,3051,2678,3169,2429,85,3271,
2864,1863,2317,2944,575,965,2117,2885,1174,1784,3412,1343,1954,3104,354,1557,1395,3576,3301,1069,365,145,2817,2652,2359,91,2741,1574,2514,3138,461,1085,2025,858,3508,1240,947,782,3454,3234,2530,298,23,2204,2042,3245,495,1645,2256,187,1815,2425,714,1482,2634,3024,655,1282,1736,735,
1194,1958,413,3492,2000,3328,877,2709,20,2112,1381,2501,2121,1668,3097,923,1436,112,2287,2582,2019,2842,2967,381,3267,571,1280,607,2628,3310,289,971,2992,2319,3028,332,3218,632,757,1580,1017,1312,3487,2163,2676,502,1931,1478,1098,2218,1487,3579,890,2722,271,1599,107,3186,1641,2405,
433,2847,2746,2961,3313,3049,827,10,1351,1869,1230,1634,1287,945,1164,205,1852,1602,1031,156,3276,1134,2054,972,3498,3080,3196,685,2186,1451,2148,1413,2914,403,519,101,2627,1545,2465,323,3443,2568,1997,1747,3394,2435,2654,2312,1965,2369,1730,2248,3589,2772,550,286,638,853,752,3166,
794,998,2265,3568,2490,2283,3300,3448,3404,1949,2719,3117,722,3273,372,3511,2067,1782,1426,2881,583,1884,1581,2947,924,3149,2156,2395,1036,2400,1199,2563,1204,1443,450,2675,652,2018,1715,3016,718,2173,1817,1532,88,3227,326,2877,482,880,1650,195,151,299,1316,1109,31,1334,2601,2805,
724,951,2212,3210,2503,2352,3052,856,2573,197,3291,1928,2243,471,1792,3073,1883,2899,824,3333,1493,1559,3421,2,641,2014,1269,111,993,2441,1158,2606,3488,2330,1585,2958,3597,178,2040,2106,266,2775,700,1716,526,1807,3128,1356,1671,308,3402,1026,2743,547,1247,1096,389,1387,2648,2875,
